Start: 2015-06-22_00-09-26 
  Size       AUC
1 2392 0.7835637
elapsed 
 16.953 
': False, 'model_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_tr.csv.pkl', 'bootstrap_seed': None, 'test_data_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_test.csv', 'train_filter': {}, 'test_metric': 'auc', 'test_pred_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_test_pred.csv', 'model_type': 'GradientBoostingClassifier', 'load_model': False, 'test_data_file2': None, 'load_type': 'fit_more', 'test_pred_file2': None, 'skip_mapping': True, 'fit_args': {'loss': 'deviance', 'verbose': 50, 'learning_rate': 0.0035, 'n_estimators': 1000, 'subsample': 1, 'random_state': 788942, 'max_features': 8, 'max_depth': 7}, 'metric_type': 'auto', 'weight_col': None, 'train_data_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_tr.csv', 'na_fill_value': -20000}
Loading /Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_tr.csv raw file
Saving /Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_tr.csv.bin.pkl cache file
Train has 7811 instances (was 7811 before filtering)
      Iter       Train Loss   Remaining Time 
       246           0.2264           12.96s
       247           0.2262           12.94s
       248           0.2260           12.92s
       249           0.2258           12.89s
       250           0.2257           12.87s
       251           0.2255           12.85s
       252           0.2253           12.83s
       253           0.2251           12.80s
       254           0.2250           12.78s
       255           0.2248           12.76s
       256           0.2246           12.74s
       257           0.2244           12.73s
       258           0.2242           12.71s
       259           0.2240           12.69s
       260           0.2238           12.67s
       261           0.2237           12.65s
       262           0.2235           12.62s
       263           0.2233           12.60s
       264           0.2231           12.58s
       265           0.2229           12.55s
       266           0.2227           12.53s
       267           0.2226           12.50s
       268           0.2224           12.48s
       269           0.2222           12.46s
       270           0.2220           12.44s
       271           0.2218           12.42s
       272           0.2216           12.40s
       273           0.2214           12.37s
       274           0.2213           12.35s
       275           0.2211           12.33s
       276           0.2209           12.30s
       277           0.2208           12.28s
       278           0.2206           12.26s
       279           0.2204           12.24s
       280           0.2202           12.22s
       281           0.2200           12.20s
       282           0.2198           12.18s
       283           0.2197           12.16s
       284           0.2195           12.15s
       285           0.2193           12.13s
       286           0.2191           12.11s
       287           0.2189           12.09s
       288           0.2187           12.07s
       289           0.2186           12.06s
       290           0.2184           12.05s
       291           0.2182           12.02s
       292           0.2181           12.00s
       293           0.2179           11.99s
       294           0.2178           11.96s
       295           0.2176           11.94s
       296           0.2175           11.92s
       297           0.2173           11.93s
       298           0.2171           11.98s
       299           0.2170           11.99s
       300           0.2168           11.99s
       301           0.2166           11.99s
       302           0.2164           11.98s
       303           0.2162           11.96s
       304           0.2160           11.95s
       305           0.2159           11.93s
       306           0.2157           11.90s
       307           0.2156           11.88s
       308           0.2154           11.86s
       309           0.2153           11.84s
       310           0.2151           11.81s
       311           0.2149           11.79s
       312           0.2147           11.77s
       313           0.2145           11.75s
       314           0.2144           11.73s
       315           0.2142           11.71s
       316           0.2141           11.69s
       317           0.2139           11.67s
       318           0.2138           11.65s
       319           0.2136           11.63s
       320           0.2135           11.61s
       321           0.2133           11.59s
       322           0.2131           11.57s
       323           0.2130           11.55s
       324           0.2128           11.53s
       325           0.2127           11.51s
       326           0.2125           11.49s
       327           0.2124           11.47s
       328           0.2122           11.45s
       329           0.2121           11.44s
       330           0.2119           11.42s
       331           0.2118           11.40s
       332           0.2117           11.38s
       333           0.2115           11.36s
       334           0.2114           11.34s
       335           0.2113           11.32s
       336           0.2111           11.30s
       337           0.2110           11.28s
       338           0.2108           11.27s
       339           0.2106           11.25s
       340           0.2105           11.23s
       341           0.2104           11.21s
       342           0.2102           11.19s
       343           0.2101           11.17s
       344           0.2100           11.16s
       345           0.2098           11.14s
       346           0.2096           11.12s
       347           0.2095           11.10s
       348           0.2093           11.08s
       349           0.2092           11.06s
       350           0.2091           11.04s
       351           0.2090           11.02s
       352           0.2088           10.99s
       353           0.2087           10.97s
       354           0.2085           10.96s
       355           0.2084           10.94s
       356           0.2083           10.92s
       357           0.2081           10.90s
       358           0.2080           10.88s
       359           0.2079           10.86s
       360           0.2077           10.84s
       361           0.2076           10.82s
       362           0.2075           10.80s
       363           0.2074           10.78s
       364           0.2072           10.77s
       365           0.2071           10.75s
       366           0.2069           10.73s
       367           0.2068           10.71s
       368           0.2066           10.69s
       369           0.2065           10.67s
       370           0.2064           10.65s
       371           0.2063           10.63s
       372           0.2061           10.61s
       373           0.2060           10.59s
       374           0.2059           10.57s
       375           0.2057           10.55s
       376           0.2056           10.53s
       377           0.2055           10.51s
       378           0.2054           10.50s
       379           0.2053           10.48s
       380           0.2051           10.46s
       381           0.2050           10.44s
       382           0.2049           10.42s
       383           0.2047           10.41s
       384           0.2046           10.39s
       385           0.2045           10.37s
       386           0.2044           10.34s
       387           0.2043           10.32s
       388           0.2042           10.31s
       389           0.2041           10.29s
       390           0.2039           10.28s
       391           0.2038           10.26s
       392           0.2037           10.25s
       393           0.2036           10.23s
       394           0.2035           10.21s
       395           0.2034           10.19s
       396           0.2032           10.17s
       397           0.2031           10.15s
       398           0.2030           10.13s
       399           0.2029           10.11s
       400           0.2028           10.09s
       401           0.2026           10.08s
       402           0.2025           10.06s
       403           0.2024           10.03s
       404           0.2022           10.02s
       405           0.2021           10.00s
       406           0.2020            9.98s
       407           0.2018            9.96s
       408           0.2017            9.94s
       409           0.2016            9.92s
       410           0.2015            9.90s
       411           0.2013            9.88s
       412           0.2012            9.86s
       413           0.2010            9.84s
       414           0.2009            9.83s
       415           0.2008            9.81s
       416           0.2007            9.79s
       417           0.2006            9.77s
       418           0.2004            9.75s
       419           0.2003            9.74s
       420           0.2002            9.72s
       421           0.2001            9.70s
       422           0.2000            9.68s
       423           0.1999            9.66s
       424           0.1998            9.64s
       425           0.1997            9.62s
       426           0.1996            9.60s
       427           0.1994            9.59s
       428           0.1993            9.57s
       429           0.1992            9.54s
       430           0.1991            9.53s
       431           0.1990            9.51s
       432           0.1989            9.49s
       433           0.1988            9.48s
       434           0.1987            9.46s
       435           0.1986            9.43s
       436           0.1984            9.42s
       437           0.1983            9.39s
       438           0.1982            9.38s
       439           0.1981            9.36s
       440           0.1980            9.34s
       441           0.1979            9.32s
       442           0.1978            9.30s
       443           0.1977            9.28s
       444           0.1976            9.27s
       445           0.1975            9.25s
       446           0.1974            9.23s
       447           0.1972            9.22s
       448           0.1971            9.20s
       449           0.1970            9.18s
       450           0.1969            9.16s
       451           0.1968            9.14s
       452           0.1967            9.12s
       453           0.1966            9.10s
       454           0.1964            9.08s
       455           0.1963            9.08s
       456           0.1962            9.06s
       457           0.1961            9.05s
       458           0.1960            9.03s
       459           0.1959            9.01s
       460           0.1958            8.99s
       461           0.1957            8.97s
       462           0.1956            8.95s
       463           0.1955            8.94s
       464           0.1953            8.92s
       465           0.1952            8.90s
       466           0.1951            8.88s
       467           0.1950            8.87s
       468           0.1949            8.85s
       469           0.1948            8.83s
       470           0.1947            8.81s
       471           0.1946            8.79s
       472           0.1945            8.77s
       473           0.1944            8.76s
       474           0.1943            8.74s
       475           0.1942            8.73s
       476           0.1941            8.71s
